"name","ts","high","max_high"
"TTD","2021-05-11 15:50:00-04:00","515.5313110351562","515.5313110351562"
"BYND","2021-05-11 14:45:00-04:00","110.69999694824219","110.69999694824219"
"BYND","2021-05-11 14:50:00-04:00","110.69999694824219","110.69999694824219"
"BYND","2021-05-11 14:55:00-04:00","110.69999694824219","110.69999694824219"
"OKTA","2021-05-11 13:20:00-04:00","240.52999877929688","240.52999877929688"
"SNAP","2021-05-11 15:45:00-04:00","53.650001525878906","53.650001525878906"
"SQ","2021-05-11 13:35:00-04:00","221.77999877929688","221.77999877929688"
"DD","2021-05-11 10:00:00-04:00","83.19999694824219","83.19999694824219"
"NFLX","2021-05-11 14:25:00-04:00","497.989990234375","497.989990234375"
"FB","2021-05-11 15:25:00-04:00","306.8399963378906","306.8399963378906"
"PINS","2021-05-11 15:45:00-04:00","60.34000015258789","60.34000015258789"
"SHOP","2021-05-11 15:20:00-04:00","1121.5899658203125","1121.5899658203125"
